submitted_at	provider	shot	workflow_sha256	prompt_id	status	output	probe
2026-08-30T22:04:58-03:00	MiniMax H3	S01_SH002	6abf08a525155414970811888647b13909968c970cb7e29ff5aac22cf67c882c	651545c6-bd4f-4318-b09c-17552296456e	diagnostic-wrong-aspect	generated/minimax-proof/651545c6_000.mp4	640x640; 24fps; 3.042s; H264+AAC stereo
2026-08-30T22:09:13-03:00	MiniMax H3	S01_SH002	da0d5783e94be09e34d548bb2c6e7b8a86efda1480ae30c917975c1db480cfa3	6ceca4f4-5fb9-4efe-82ff-6d0cfac760ce	completed	generated/minimax-proof/6ceca4f4_000.mp4	608x352; 24fps; 3.042s; H264+AAC stereo
2026-08-30T22:12:19-03:00	LTX-2.3	S00_SH002	555fa86561a19490bf09708f1390cc10410971367935c627668c1ed3dea5a7fb	8a77fddd-a885-4883-9f55-b7045579b9cd	failed-runtime		Sampler tensor mismatch: fps primitive was incorrectly rebound to 13
2026-08-30T22:15:22-03:00	LTX-2.3	S00_SH002	305a39d1bc6270d768e8930c2582a4d5dc564a381fec1b2e9a101f6929520689	f636d3db-9e5f-4bb4-9e1f-3367c9fa26c4	failed-runtime		Sampler tensor mismatch: audio batch must remain 1, not 24
2026-08-30T22:17:10-03:00	LTX-2.3	S00_SH002	d1b60deae806e936f00a130b68ad8fc0237b82f00c98fb359a7ca03d9e7550e9	0a1e0d61-0838-495a-8a58-a726e91ad337	completed	generated/ltx-proof/0a1e0d61_000.mp4	640x320; 24fps; 2.042s; H264+AAC stereo
2026-08-31T08:41:08-03:00	LTX-2.3	S00_SH001	a863d7db907fb32cb28d9f11588a866c84d09a3bf48e828f6cd9561a187623d9	fbe719df-a7f0-45b3-9f6d-9ae2fbfda1f9	completed	generated/ltx-v1/shots/S00_SH001/fbe719df_000.mp4	640x320; 24fps; 2.042s; H264+AAC stereo
2026-08-31T08:43:34-03:00	LTX-2.3	S01_SH002	c4ac6b0170e6e517841705d6faeda8575d20bec3e1873150d022bf685d842c78	7ef33fbb-2b6c-4017-9ea0-17b68aee242e	diagnostic-generated-subtitles	generated/ltx-v1/shots/S01_SH002/7ef33fbb_000.mp4	640x320; 24fps; 12.042s; H264+AAC stereo; rejected: baked gibberish subtitles
2026-08-31T08:48:59-03:00	LTX-2.3	S01_SH002	a7526b38823fa4700d5108258ee399221b52dd030f8d77cb0f78204a6546b586	28caf06d-2db3-42d9-b1cf-11a1b9e15728	diagnostic-generated-subtitles	generated/ltx-v1/shots/S01_SH002-clean/28caf06d_000.mp4	640x320; 24fps; 8.042s; H264+AAC stereo; rejected: baked gibberish lower-third
2026-08-31T08:51:18-03:00	LTX-2.3	S01_SH002	6e44afa7d93956bc4ff4abc032b1c54f41f6150fad0a207189df38b9238bdfc0	2a69c78c-7d2f-44cb-afd6-b9177af61d4f	completed-candidate	generated/ltx-v1/shots/S01_SH002-portrait/2a69c78c_000.mp4	640x320; 24fps; 4.042s; H264+AAC stereo; clean contact sheet
2026-08-31T08:54:20-03:00	LTX-2.3	S01_SH001	e3e7e439466eb2b461bfe2656fc524697f3e313fd0ec26190a1453d32724c6ad	62c38eb1-d41a-4b36-85a0-9ee9ebbf4be1	diagnostic-generated-caption	generated/ltx-v1/shots/S01_SH001/62c38eb1_000.mp4	rejected: baked gibberish caption and identity intrusion
2026-08-31T08:54:20-03:00	LTX-2.3	S01_SH003	761543935c2341d7fb4a15642ceb9a506e249efdaf66a423b682da24a726901b	238eba1e-50f0-49cc-b7b6-059bd6c28400	cancelled		stopped after text-trigger diagnosis
2026-08-31T08:54:20-03:00	LTX-2.3	S02_SH001	539579367a4c7f4e5204b7f5ca42671c800689a8fcb47fe8d5e98c6f6bf057f3	2c768231-9b3d-43e5-b082-bafbfe417926	cancelled		stopped after text-trigger diagnosis
2026-08-31T08:54:20-03:00	LTX-2.3	S02_SH002	f88fe33d2553bfbe2dffe57ada21de0c5c9749c7b9351d60956d4fd6bdd777fb	e92fad96-8ff9-489a-929c-c2ba5389003c	cancelled		stopped before execution
2026-08-31T08:54:20-03:00	LTX-2.3	S02_SH003	82200b21dba7a80f031a3a49306071e9f8c7c3566df508beef39537d60fe4d0f	bee36a85-3e32-4f32-85ae-dc354e336fca	cancelled		stopped before execution
2026-08-31T08:54:20-03:00	LTX-2.3	S03_SH001	9bac0449c6e7a7ab32b74cf9a3cd6f255a9eae4868f5fd13dad423e32c5929bd	bebec8c0-254b-4c3a-a202-cfe8ec017a12	cancelled		stopped before execution
2026-08-31T08:54:20-03:00	LTX-2.3	S03_SH002	0ae2f482bcc9646de3d5fea4c2702c1560b50ebfe6e45807e204dd0c634c563a	8e885027-2c96-4c58-a72f-5968e06a8f98	cancelled		stopped before execution
2026-08-31T08:54:20-03:00	LTX-2.3	S03_SH003	2dda9330eda1d4006d9035e003dc42dce7548b0d04f2c04c6543dad07e7f29a5	297cac82-b9a6-486e-bcf9-7b4ff7472b33	cancelled		stopped before execution
2026-08-31T08:54:20-03:00	LTX-2.3	S04_SH002	762599c386011e08499ab5286403863731629c238afcc6d15be11f71ac41ac59	b1fe6f88-c08c-4243-8e42-1b74e0931192	cancelled		stopped before execution
2026-08-31T08:58:35-03:00	Wan-2.2-5B	S00_SH001	c95d4dee9977a19392a0be2d9b8a73294106e9083f7bec707bae095b34435b4a	185a440d-deb3-47cc-9aaa-92b1aa71ce06	completed-diagnostic	generated/wan-v1/shots/S00_SH001/185a440d_000.mp4	640x352; 24fps; 2.042s; H264 silent; pastry enlargement and skimmer-to-rack drift
2026-08-31T09:01:07-03:00	LTX-2.3	S01_SH001	e341afef7be2c5791334077eacb35211387cb53588911c97e5049fba3a3e380b	5b062b34-3c7d-4f25-bc7d-4a912ab3a902	completed-candidate	generated/ltx-v1/shots/S01_SH001-clean/5b062b34_000.mp4	640x320; 24fps; 4.042s; H264+AAC stereo; clean contact sheet
2026-08-31T09:01:07-03:00	LTX-2.3	S01_SH003	6ece5a76eb04328e6724fe538d1df8ee3591db5a35e1b264b6c0a1c11fb415dd	10422e8f-da77-416a-ba6e-2c1969688019	completed-candidate	generated/ltx-v1/shots/S01_SH003-clean/10422e8f_000.mp4	640x320; 24fps; 4.042s; clean contact sheet
2026-08-31T09:01:07-03:00	LTX-2.3	S02_SH001	04ceda858a7526a52ebd6aae07394b4b8d300cdc00c76b9e6dc0e344e946ac9b	d851d17d-3560-40ae-9224-a60cf8aa453f	completed-candidate	generated/ltx-v1/shots/S02_SH001-clean/d851d17d_000.mp4	640x320; 24fps; 4.042s; clean contact sheet
2026-08-31T09:01:07-03:00	LTX-2.3	S02_SH002	f88fe33d2553bfbe2dffe57ada21de0c5c9749c7b9351d60956d4fd6bdd777fb	4c35fdbd-badb-4fc3-aadf-d79f764c1543	completed-candidate	generated/ltx-v1/shots/S02_SH002-clean/4c35fdbd_000.mp4	640x320; 24fps; 4.042s; clean contact sheet
2026-08-31T09:01:07-03:00	LTX-2.3	S02_SH003	ce0249e7d9ffc9d15487b4f26faf5be07dcd3fc2da43fc9874e3c59b6e07634c	6251fe3b-18ff-4ac2-a49b-97b438525dc6	completed-candidate	generated/ltx-v1/shots/S02_SH003-clean/6251fe3b_000.mp4	640x320; 24fps; 4.042s; clean contact sheet
2026-08-31T09:01:07-03:00	LTX-2.3	S03_SH001	1df3983c3587e0ec8406b8bee4013e6f45d2ff4d768b7ffa11a3cf2e1a658b8d	6b569b33-3e85-4cfe-8072-8e04611a1223	completed-candidate	generated/ltx-v1/shots/S03_SH001-clean/6b569b33_000.mp4	640x320; 24fps; 4.042s; clean contact sheet
2026-08-31T09:01:07-03:00	LTX-2.3	S03_SH002	0ae2f482bcc9646de3d5fea4c2702c1560b50ebfe6e45807e204dd0c634c563a	2f0ef5b4-80fc-4a1e-9ecf-04ce8c8cddb5	completed-candidate	generated/ltx-v1/shots/S03_SH002-clean/2f0ef5b4_000.mp4	640x320; 24fps; 4.042s; clean contact sheet
